Wall time,Step,Value
1569094847.439299,5,7.8125
1569094847.766425,18,12.5
1569094847.9250004,24,14.0625
1569094848.318947,40,12.5
1569094848.3668191,42,20.3125
1569094848.4446106,45,10.9375
1569094848.6530545,53,17.1875
1569094848.7318425,56,12.5
1569094849.1277847,71,31.25
1569094849.2105625,74,46.875
1569094849.7371547,94,51.5625
1569094854.360614,102,42.1875
1569094854.448377,106,54.6875
1569094854.9181206,126,50.0
1569094855.2243016,139,51.5625
1569094855.5743656,155,50.0
1569094855.6511605,158,53.125
1569094855.882542,167,31.25
1569094856.1398532,178,64.0625
1569094856.2515543,183,60.9375
1569094856.293443,185,51.5625
1569094856.3951716,190,60.9375
1569094861.8745198,229,73.4375
1569094862.0061681,234,75.0
1569094862.3512452,249,73.4375
1569094862.5088234,255,78.125
1569094862.643463,260,67.1875
1569094862.8120134,267,82.8125
1569094862.9406679,273,71.875
1569094863.3994412,292,85.9375
1569094868.3249977,308,79.6875
1569094868.3758614,310,75.0
1569094868.5553813,318,82.8125
1569094868.8705385,330,76.5625
1569094869.1019197,339,75.0
1569094869.3153493,347,75.0
1569094869.7382193,363,76.5625
1569094869.8229918,367,82.8125
1569094875.6323166,421,85.9375
1569094875.6582484,422,79.6875
1569094876.0681517,439,87.5
1569094876.1339757,442,87.5
1569094876.1997998,445,93.75
1569094876.575794,460,79.6875
1569094876.6545832,463,85.9375
1569094876.6805139,464,89.0625
1569094876.9378266,474,89.0625
1569094877.3616922,491,82.8125
1569094877.4315057,493,92.1875
1569094882.4798262,514,79.6875
1569094882.9226427,531,89.0625
1569094883.0373366,536,85.9375
1569094883.7035537,563,89.0625
1569094883.9558797,573,89.0625
1569094884.1024876,579,85.9375
1569094884.140386,581,87.5
1569094884.2660503,586,85.9375
1569094884.2929788,587,90.625
1569094889.2709227,602,89.0625
1569094889.7117412,620,85.9375
1569094889.7516346,622,96.875
1569094890.0707815,634,95.3125
1569094890.254291,641,89.0625
1569094890.274239,642,85.9375
1569094890.320115,644,89.0625
1569094890.39292,647,89.0625
1569094890.4358048,649,85.9375
1569094890.7469735,661,85.9375
1569094891.0162528,671,85.9375
1569094891.2984984,683,90.625
1569094891.419176,688,95.3125
1569094896.6037683,714,96.875
1569094896.7064931,718,93.75
1569094896.7922647,722,90.625
1569094896.8191926,723,87.5
1569094897.0027018,730,95.3125
1569094897.23907,739,89.0625
1569094897.348776,743,87.5
1569094897.4544933,747,85.9375
1569094897.5791607,752,92.1875
1569094897.6719117,756,87.5
1569094897.8673894,765,89.0625
1569094897.9731066,769,90.625
1569094898.0299551,771,82.8125
1569094898.078825,773,95.3125
1569094898.2214417,780,89.0625
1569094898.3361359,785,89.0625
1569094898.389994,787,95.3125
1569094898.5116665,792,82.8125
1569094898.5655224,794,93.75
1569094898.6712391,798,90.625
1569094903.216611,802,96.875
1569094903.3392828,808,93.75
1569094903.3622224,809,90.625
1569094903.9865522,832,87.5
1569094904.085288,836,92.1875
1569094911.786915,869,96.875
1569094911.984387,876,90.625
1569094912.1280031,882,93.75
1569094912.4371762,896,92.1875
1569094912.550872,900,89.0625
1569094912.7373734,907,93.75
1569094912.7922285,909,90.625
1569094912.9567873,915,92.1875
1569094913.0086489,917,89.0625
1569094913.3108408,931,92.1875
1569094913.331784,932,87.5
1569094913.5671546,942,90.625
1569094918.0960453,945,98.4375
1569094918.2895277,954,89.0625
1569094918.372306,958,82.8125
1569094918.4720395,962,90.625
1569094918.689458,971,92.1875
1569094918.709405,972,87.5
1569094918.8649883,978,87.5
1569094918.8909192,979,95.3125
1569094919.028551,984,92.1875
1569094919.3526855,996,93.75
1569094919.4903169,1002,93.75
1569094919.5511537,1005,95.3125
1569094919.7625883,1014,96.875
1569094920.4956293,1044,92.1875
1569094925.3386753,1057,93.75
1569094925.4832885,1063,93.75
1569094925.5620782,1066,96.875
1569094925.6099503,1068,85.9375
1569094925.6967177,1072,90.625
1569094925.8453202,1078,95.3125
1569094925.9769683,1083,87.5
1569094926.213337,1093,95.3125
1569094926.3709152,1099,92.1875
1569094926.5005686,1104,89.0625
1569094926.7678547,1114,93.75
1569094926.9084775,1119,93.75
1569094932.3814523,1156,95.3125
1569094932.495148,1160,92.1875
1569094932.523073,1161,95.3125
1569094932.5500014,1162,87.5
1569094933.0466738,1180,93.75
1569094933.3588383,1192,93.75
1569094933.3787847,1193,96.875
1569094933.501457,1199,95.3125
1569094933.686961,1206,92.1875
1569094934.2903478,1232,90.625
1569094934.6025128,1244,90.625
1569094939.49313,1255,93.75
1569094939.5739138,1258,95.3125
